country,university
US,University of Texas at Austin
US,University of Texas at Austin
US,University of Texas at Austin
US,University of Texas at Dallas
US,University of Texas at Dallas
US,University of Texas at El Paso
US,University of Texas at El Paso
US,University of Texas at San Antonio
US,University of Texas at San Antonio
US,University of Toledo
US,University of Toledo
US,University of Utah
US,University of Utah
US,University of Utah
US,University of Utah
US,University of Vermont
US,University of Vermont
US,University of Virginia
US,University of Virginia
US,University of Virginia
US,University of Virginia
US,University of Wyoming
US,University of Wyoming
US,Vanderbilt University
US,Vanderbilt University
US,Vanderbilt University
US,Vanderbilt University
US,Wake Forest University
US,Wake Forest University
US,Wayne State University
US,Wayne State University
US,Yale University
US,Yale University
US,Yale University
US,Yale University
US,Yeshiva University
US,Yeshiva University
ZA,University of Cape Town
ZA,University of Cape Town
ZA,University of KwaZulu-Natal
ZA,University of KwaZulu-Natal
ZA,University of Pretoria
ZA,University of Pretoria
